draw_date,session,winning_number
2022-05-26,Evening,3264
2022-05-26,Night,1845
2022-05-27,Midday,9387
2022-05-27,Evening,4476
2022-05-27,Night,7333
2022-05-28,Midday,1109
2022-05-28,Evening,6804
2022-05-28,Night,8106
2022-05-29,Midday,0390
2022-05-29,Evening,6341
2022-05-29,Night,0943
2022-05-30,Midday,8731
2022-05-30,Evening,5592
2022-05-30,Night,8651
2022-05-31,Midday,6762
2022-05-31,Evening,6361
2022-05-31,Night,8746
2022-06-01,Midday,1814
2022-06-01,Evening,5437
2022-06-01,Night,6410
2022-06-02,Midday,3102
2022-06-02,Evening,5216
2022-06-02,Night,5935
2022-06-03,Midday,1885
2022-06-03,Evening,0280
2022-06-03,Night,7622
2022-06-04,Midday,0469
2022-06-04,Evening,0232
2022-06-04,Night,8671
2022-06-05,Midday,1400
2022-06-05,Evening,2746
2022-06-05,Night,8333
2022-06-06,Midday,8935
2022-06-06,Evening,5970
2022-06-06,Night,8857
2022-06-07,Midday,8630
2022-06-07,Evening,6343
2022-06-07,Night,3737
2022-06-08,Midday,6457
2022-06-08,Evening,6327
2022-06-08,Night,9925
2022-06-09,Midday,0974
2022-06-09,Evening,1649
2022-06-09,Night,0215
2022-06-10,Midday,7288
2022-06-10,Evening,4336
2022-06-10,Night,1230
2022-06-11,Midday,5261
2022-06-11,Evening,5206
2022-06-11,Night,2863
2022-06-12,Midday,7060
2022-06-12,Evening,6512
2022-06-12,Night,5262
2022-06-13,Midday,4988
2022-06-13,Evening,4285
2022-06-13,Night,0233
2022-06-14,Midday,1925
2022-06-14,Evening,7450
2022-06-14,Night,3318
2022-06-15,Midday,3114
2022-06-15,Evening,4928
2022-06-15,Night,3059
2022-06-16,Midday,5268
2022-06-16,Evening,4271
2022-06-16,Night,9787
2022-06-17,Midday,5292
2022-06-17,Evening,1483
2022-06-17,Night,1783
2022-06-18,Midday,5102
2022-06-18,Evening,7795
2022-06-18,Night,2239
2022-06-19,Midday,2623
